word,Usage Count in Current Curriculum,Usage Count in Draft Curriculum,Percent of total words in Current Curriculum,Percent of total words in Draft Curriculum,Percent change from Current to Draft Curriculum
electronic,31,1,0.0003734489820503554,7.418562727657144e-06,-0.9801350034831349
program,98,4,0.0011805806529333815,2.9674250910628575e-05,-0.9748646982847828
continued,59,3,0.0007107577400313215,2.225568818297143e-05,-0.968687378371721
identity,76,4,0.0009155523430911938,2.9674250910628575e-05,-0.9675886898935359
geography,36,2,0.00043368268883267077,1.4837125455314288e-05,-0.9657880615542878
studied,17,1,0.0002047946030598723,7.418562727657144e-06,-0.963775594586893
display,16,1,0.00019274786170340923,7.418562727657144e-06,-0.9615115692485737
student,31,2,0.0003734489820503554,1.4837125455314288e-05,-0.9602700069662697
generalizations,15,1,0.00018070112034694616,7.418562727657144e-06,-0.9589456738651454
freedoms,13,1,0.00015660763763402,7.418562727657144e-06,-0.9526296236905524
practical,13,1,0.00015660763763402,7.418562727657144e-06,-0.9526296236905524
vitality,13,1,0.00015660763763402,7.418562727657144e-06,-0.9526296236905524
talk,26,2,0.00031321527526804,1.4837125455314288e-05,-0.9526296236905524
devices,37,3,0.00044572943018913384,2.225568818297143e-05,-0.9500690628089605
theoretical,12,1,0.00014456089627755693,7.418562727657144e-06,-0.9486820923314317
classifying,11,1,0.00013251415492109386,7.418562727657144e-06,-0.9440168279979255
cold,11,1,0.00013251415492109386,7.418562727657144e-06,-0.9440168279979255
forests,11,1,0.00013251415492109386,7.418562727657144e-06,-0.9440168279979255
pluralistic,11,1,0.00013251415492109386,7.418562727657144e-06,-0.9440168279979255
projects,11,1,0.00013251415492109386,7.418562727657144e-06,-0.9440168279979255
rocks,11,1,0.00013251415492109386,7.418562727657144e-06,-0.9440168279979255
mathematics,194,18,0.0023370678231538367,0.00013353412909782858,-0.9428625357916971
constructing,21,2,0.00025298156848572464,1.4837125455314288e-05,-0.9413509626644934
classroom,30,3,0.0003614022406938923,2.225568818297143e-05,-0.9384185107977181
sums,10,1,0.00012046741356463077,7.418562727657144e-06,-0.938418510797718
thousandths,10,1,0.00012046741356463077,7.418562727657144e-06,-0.938418510797718
probability,40,4,0.00048186965425852307,2.9674250910628575e-05,-0.938418510797718
trees,19,2,0.00022888808577279846,1.4837125455314288e-05,-0.9351773797870716
basis,28,3,0.00033730875798096616,2.225568818297143e-05,-0.9340198329975551
clay,9,1,0.00010842067220816769,7.418562727657144e-06,-0.9315761231085756
distinguishing,9,1,0.00010842067220816769,7.418562727657144e-06,-0.9315761231085756
equity,9,1,0.00010842067220816769,7.418562727657144e-06,-0.9315761231085756
examination,9,1,0.00010842067220816769,7.418562727657144e-06,-0.9315761231085756
references,9,1,0.00010842067220816769,7.418562727657144e-06,-0.9315761231085756
review,9,1,0.00010842067220816769,7.418562727657144e-06,-0.9315761231085756
2-digit,18,2,0.00021684134441633538,1.4837125455314288e-05,-0.9315761231085756
electricity,18,2,0.00021684134441633538,1.4837125455314288e-05,-0.9315761231085756
estimating,18,2,0.00021684134441633538,1.4837125455314288e-05,-0.9315761231085756
portrayed,18,2,0.00021684134441633538,1.4837125455314288e-05,-0.9315761231085756
studies,130,15,0.0015660763763402,0.00011127844091485716,-0.9289444355358285
citizens,34,4,0.0004095892061197446,2.9674250910628575e-05,-0.927551189173786
current,25,3,0.00030116853391157694,2.225568818297143e-05,-0.9261022129572617
discover,25,3,0.00030116853391157694,2.225568818297143e-05,-0.9261022129572617
databases,8,1,9.637393085170462e-05,7.418562727657144e-06,-0.9230231384971476
learnings,8,1,9.637393085170462e-05,7.418562727657144e-06,-0.9230231384971476
one-step,8,1,9.637393085170462e-05,7.418562727657144e-06,-0.9230231384971476
puppet,16,2,0.00019274786170340923,1.4837125455314288e-05,-0.9230231384971476
structural,16,2,0.00019274786170340923,1.4837125455314288e-05,-0.9230231384971476
assist,32,4,0.00038549572340681846,2.9674250910628575e-05,-0.9230231384971476
attitudes,38,5,0.0004577761715455969,3.709281363828572e-05,-0.9189717247338395
appreciate,76,10,0.0009155523430911938,7.418562727657143e-05,-0.9189717247338395
belong,15,2,0.00018070112034694616,1.4837125455314288e-05,-0.9178913477302907
willingness,15,2,0.00018070112034694616,1.4837125455314288e-05,-0.9178913477302907
issues,75,10,0.0009035056017347307,7.418562727657143e-05,-0.9178913477302907
calculators,7,1,8.432718949524154e-05,7.418562727657144e-06,-0.91202644399674
films,7,1,8.432718949524154e-05,7.418562727657144e-06,-0.91202644399674
household,7,1,8.432718949524154e-05,7.418562727657144e-06,-0.91202644399674
impression,7,1,8.432718949524154e-05,7.418562727657144e-06,-0.91202644399674
infer,7,1,8.432718949524154e-05,7.418562727657144e-06,-0.91202644399674
levers,7,1,8.432718949524154e-05,7.418562727657144e-06,-0.91202644399674
tendency,7,1,8.432718949524154e-05,7.418562727657144e-06,-0.91202644399674
accept,14,2,0.00016865437899048308,1.4837125455314288e-05,-0.91202644399674
multiples,14,2,0.00016865437899048308,1.4837125455314288e-05,-0.91202644399674
strands,14,2,0.00016865437899048308,1.4837125455314288e-05,-0.91202644399674
uncertainty,14,2,0.00016865437899048308,1.4837125455314288e-05,-0.91202644399674
visuals,14,2,0.00016865437899048308,1.4837125455314288e-05,-0.91202644399674
assistance,13,2,0.00015660763763402,1.4837125455314288e-05,-0.9052592473811046
exploring,64,10,0.0007709914468136369,7.418562727657143e-05,-0.9037789231214345
particular,82,13,0.0009878327912299723,9.644131545954287e-05,-0.9023708098012603
grade,137,22,0.0016504035658354416,0.00016320838000845716,-0.9011100173394012
will,200,33,0.0024093482712926155,0.0002448125700126857,-0.8983905428162349
beings,6,1,7.228044813877847e-05,7.418562727657144e-06,-0.8973641846628634
disposal,6,1,7.228044813877847e-05,7.418562727657144e-06,-0.8973641846628634
percents,6,1,7.228044813877847e-05,7.418562727657144e-06,-0.8973641846628634
previously,6,1,7.228044813877847e-05,7.418562727657144e-06,-0.8973641846628634
sensitivity,6,1,7.228044813877847e-05,7.418562727657144e-06,-0.8973641846628634
standards,6,1,7.228044813877847e-05,7.418562727657144e-06,-0.8973641846628634
suit,6,1,7.228044813877847e-05,7.418562727657144e-06,-0.8973641846628634
wampum,6,1,7.228044813877847e-05,7.418562727657144e-06,-0.8973641846628634
urban,12,2,0.00014456089627755693,1.4837125455314288e-05,-0.8973641846628634
mathematical,46,8,0.0005541501023973016,5.934850182125715e-05,-0.8929017579090749
reflecting,46,8,0.0005541501023973016,5.934850182125715e-05,-0.8929017579090749
general,97,17,0.0011685339115769184,0.00012611556637017143,-0.8920736787176502
aware,17,3,0.0002047946030598723,2.225568818297143e-05,-0.8913267837606789
imagery,11,2,0.00013251415492109386,1.4837125455314288e-05,-0.888033655995851
manipulatives,11,2,0.00013251415492109386,1.4837125455314288e-05,-0.888033655995851
concrete,33,6,0.00039754246476328154,4.451137636594286e-05,-0.8880336559958509
print,226,42,0.002722563546560655,0.0003115796345616,-0.8855565244913344
evaluating,16,3,0.00019274786170340923,2.225568818297143e-05,-0.8845347077457213
issue,16,3,0.00019274786170340923,2.225568818297143e-05,-0.8845347077457213
reference,16,3,0.00019274786170340923,2.225568818297143e-05,-0.8845347077457213
sample,16,3,0.00019274786170340923,2.225568818297143e-05,-0.8845347077457213
collective,21,4,0.00025298156848572464,2.9674250910628575e-05,-0.8827019253289867
integral,21,4,0.00025298156848572464,2.9674250910628575e-05,-0.8827019253289867
paint,21,4,0.00025298156848572464,2.9674250910628575e-05,-0.8827019253289867
citizenship,47,9,0.0005661968437537646,6.676706454891429e-05,-0.8820779993998856
acadian,5,1,6.0233706782315383e-05,7.418562727657144e-06,-0.8768370215954361
apparent,5,1,6.0233706782315383e-05,7.418562727657144e-06,-0.8768370215954361
appropriateness,5,1,6.0233706782315383e-05,7.418562727657144e-06,-0.8768370215954361
approximate,5,1,6.0233706782315383e-05,7.418562727657144e-06,-0.8768370215954361
autobiographies,5,1,6.0233706782315383e-05,7.418562727657144e-06,-0.8768370215954361
biographies,5,1,6.0233706782315383e-05,7.418562727657144e-06,-0.8768370215954361
cartoons,5,1,6.0233706782315383e-05,7.418562727657144e-06,-0.8768370215954361
