word,Usage Count in Current Curriculum,Usage Count in Draft Curriculum,Percent of total words in Current Curriculum,Percent of total words in Draft Curriculum,Percent change from Current to Draft Curriculum
francophonie,5,0,6.0233706782315383e-05,0.0,-1.0
interpersonal,5,0,6.0233706782315383e-05,0.0,-1.0
interviews,5,0,6.0233706782315383e-05,0.0,-1.0
inventiveness,5,0,6.0233706782315383e-05,0.0,-1.0
judgments,5,0,6.0233706782315383e-05,0.0,-1.0
mechanisms,5,0,6.0233706782315383e-05,0.0,-1.0
nonliving,5,0,6.0233706782315383e-05,0.0,-1.0
outlined,5,0,6.0233706782315383e-05,0.0,-1.0
partnerships,5,0,6.0233706782315383e-05,0.0,-1.0
phonic,5,0,6.0233706782315383e-05,0.0,-1.0
playmaking,5,0,6.0233706782315383e-05,0.0,-1.0
probabilities,5,0,6.0233706782315383e-05,0.0,-1.0
rollers,5,0,6.0233706782315383e-05,0.0,-1.0
samples,5,0,6.0233706782315383e-05,0.0,-1.0
shots,5,0,6.0233706782315383e-05,0.0,-1.0
spreadsheets,5,0,6.0233706782315383e-05,0.0,-1.0
suggested,5,0,6.0233706782315383e-05,0.0,-1.0
ukraine,5,0,6.0233706782315383e-05,0.0,-1.0
unified,5,0,6.0233706782315383e-05,0.0,-1.0
1-,4,0,4.818696542585231e-05,0.0,-1.0
2-,4,0,4.818696542585231e-05,0.0,-1.0
a1,4,0,4.818696542585231e-05,0.0,-1.0
affective,4,0,4.818696542585231e-05,0.0,-1.0
alphabetical,4,0,4.818696542585231e-05,0.0,-1.0
archaeology,4,0,4.818696542585231e-05,0.0,-1.0
arising,4,0,4.818696542585231e-05,0.0,-1.0
attentive,4,0,4.818696542585231e-05,0.0,-1.0
b1,4,0,4.818696542585231e-05,0.0,-1.0
belt,4,0,4.818696542585231e-05,0.0,-1.0
c1,4,0,4.818696542585231e-05,0.0,-1.0
c413,4,0,4.818696542585231e-05,0.0,-1.0
c7,4,0,4.818696542585231e-05,0.0,-1.0
c721,4,0,4.818696542585231e-05,0.0,-1.0
caine,4,0,4.818696542585231e-05,0.0,-1.0
catalogues,4,0,4.818696542585231e-05,0.0,-1.0
cdroms,4,0,4.818696542585231e-05,0.0,-1.0
childs,4,0,4.818696542585231e-05,0.0,-1.0
coefficients,4,0,4.818696542585231e-05,0.0,-1.0
communitys,4,0,4.818696542585231e-05,0.0,-1.0
composing,4,0,4.818696542585231e-05,0.0,-1.0
comprise,4,0,4.818696542585231e-05,0.0,-1.0
computer-based,4,0,4.818696542585231e-05,0.0,-1.0
confidently,4,0,4.818696542585231e-05,0.0,-1.0
credibility,4,0,4.818696542585231e-05,0.0,-1.0
critic,4,0,4.818696542585231e-05,0.0,-1.0
cross-age,4,0,4.818696542585231e-05,0.0,-1.0
database,4,0,4.818696542585231e-05,0.0,-1.0
debates,4,0,4.818696542585231e-05,0.0,-1.0
deliberative,4,0,4.818696542585231e-05,0.0,-1.0
depression,4,0,4.818696542585231e-05,0.0,-1.0
discovering,4,0,4.818696542585231e-05,0.0,-1.0
divisors,4,0,4.818696542585231e-05,0.0,-1.0
domain,4,0,4.818696542585231e-05,0.0,-1.0
empowerment,4,0,4.818696542585231e-05,0.0,-1.0
equalities,4,0,4.818696542585231e-05,0.0,-1.0
f433,4,0,4.818696542585231e-05,0.0,-1.0
gears,4,0,4.818696542585231e-05,0.0,-1.0
globalization,4,0,4.818696542585231e-05,0.0,-1.0
grande,4,0,4.818696542585231e-05,0.0,-1.0
highlow,4,0,4.818696542585231e-05,0.0,-1.0
indices,4,0,4.818696542585231e-05,0.0,-1.0
inequality,4,0,4.818696542585231e-05,0.0,-1.0
inference,4,0,4.818696542585231e-05,0.0,-1.0
inquire,4,0,4.818696542585231e-05,0.0,-1.0
inscribed,4,0,4.818696542585231e-05,0.0,-1.0
job,4,0,4.818696542585231e-05,0.0,-1.0
junior,4,0,4.818696542585231e-05,0.0,-1.0
landmarks,4,0,4.818696542585231e-05,0.0,-1.0
loudsoft,4,0,4.818696542585231e-05,0.0,-1.0
mechanical,4,0,4.818696542585231e-05,0.0,-1.0
median,4,0,4.818696542585231e-05,0.0,-1.0
multipliers,4,0,4.818696542585231e-05,0.0,-1.0
objectives,4,0,4.818696542585231e-05,0.0,-1.0
p221,4,0,4.818696542585231e-05,0.0,-1.0
p222,4,0,4.818696542585231e-05,0.0,-1.0
paix,4,0,4.818696542585231e-05,0.0,-1.0
peru,4,0,4.818696542585231e-05,0.0,-1.0
phonically,4,0,4.818696542585231e-05,0.0,-1.0
polynomial,4,0,4.818696542585231e-05,0.0,-1.0
quadrant,4,0,4.818696542585231e-05,0.0,-1.0
quadrants,4,0,4.818696542585231e-05,0.0,-1.0
recommended,4,0,4.818696542585231e-05,0.0,-1.0
recycled,4,0,4.818696542585231e-05,0.0,-1.0
retrieve,4,0,4.818696542585231e-05,0.0,-1.0
rounds,4,0,4.818696542585231e-05,0.0,-1.0
sharpen,4,0,4.818696542585231e-05,0.0,-1.0
shortlong,4,0,4.818696542585231e-05,0.0,-1.0
skim,4,0,4.818696542585231e-05,0.0,-1.0
slowfast,4,0,4.818696542585231e-05,0.0,-1.0
sophistication,4,0,4.818696542585231e-05,0.0,-1.0
standardtraditional,4,0,4.818696542585231e-05,0.0,-1.0
subheadings,4,0,4.818696542585231e-05,0.0,-1.0
subsequent,4,0,4.818696542585231e-05,0.0,-1.0
subtended,4,0,4.818696542585231e-05,0.0,-1.0
sufficient,4,0,4.818696542585231e-05,0.0,-1.0
suggestions,4,0,4.818696542585231e-05,0.0,-1.0
systematically,4,0,4.818696542585231e-05,0.0,-1.0
tourism,4,0,4.818696542585231e-05,0.0,-1.0
tunisia,4,0,4.818696542585231e-05,0.0,-1.0
usage,4,0,4.818696542585231e-05,0.0,-1.0
waterproof,4,0,4.818696542585231e-05,0.0,-1.0
webbing,4,0,4.818696542585231e-05,0.0,-1.0
webs,4,0,4.818696542585231e-05,0.0,-1.0
workmanship,4,0,4.818696542585231e-05,0.0,-1.0
2005,3,0,3.614022406938923e-05,0.0,-1.0
2006,3,0,3.614022406938923e-05,0.0,-1.0
3-,3,0,3.614022406938923e-05,0.0,-1.0
3s,3,0,3.614022406938923e-05,0.0,-1.0
4-digit,3,0,3.614022406938923e-05,0.0,-1.0
4s,3,0,3.614022406938923e-05,0.0,-1.0
69,3,0,3.614022406938923e-05,0.0,-1.0
71,3,0,3.614022406938923e-05,0.0,-1.0
72,3,0,3.614022406938923e-05,0.0,-1.0
82,3,0,3.614022406938923e-05,0.0,-1.0
acfa,3,0,3.614022406938923e-05,0.0,-1.0
additives,3,0,3.614022406938923e-05,0.0,-1.0
advancing,3,0,3.614022406938923e-05,0.0,-1.0
animate,3,0,3.614022406938923e-05,0.0,-1.0
anthropology,3,0,3.614022406938923e-05,0.0,-1.0
applicable,3,0,3.614022406938923e-05,0.0,-1.0
appraise,3,0,3.614022406938923e-05,0.0,-1.0
assertive,3,0,3.614022406938923e-05,0.0,-1.0
bilingual,3,0,3.614022406938923e-05,0.0,-1.0
blanket,3,0,3.614022406938923e-05,0.0,-1.0
boldfaced,3,0,3.614022406938923e-05,0.0,-1.0
brushes,3,0,3.614022406938923e-05,0.0,-1.0
bulb,3,0,3.614022406938923e-05,0.0,-1.0
c10,3,0,3.614022406938923e-05,0.0,-1.0
c11,3,0,3.614022406938923e-05,0.0,-1.0
c2,3,0,3.614022406938923e-05,0.0,-1.0
c3,3,0,3.614022406938923e-05,0.0,-1.0
c5,3,0,3.614022406938923e-05,0.0,-1.0
c631,3,0,3.614022406938923e-05,0.0,-1.0
c713,3,0,3.614022406938923e-05,0.0,-1.0
c8,3,0,3.614022406938923e-05,0.0,-1.0
c9,3,0,3.614022406938923e-05,0.0,-1.0
capturing,3,0,3.614022406938923e-05,0.0,-1.0
casting,3,0,3.614022406938923e-05,0.0,-1.0
cdrom,3,0,3.614022406938923e-05,0.0,-1.0
chapter,3,0,3.614022406938923e-05,0.0,-1.0
cite,3,0,3.614022406938923e-05,0.0,-1.0
complexities,3,0,3.614022406938923e-05,0.0,-1.0
congruency,3,0,3.614022406938923e-05,0.0,-1.0
consciousness,3,0,3.614022406938923e-05,0.0,-1.0
constructions,3,0,3.614022406938923e-05,0.0,-1.0
constructively,3,0,3.614022406938923e-05,0.0,-1.0
coping,3,0,3.614022406938923e-05,0.0,-1.0
copying,3,0,3.614022406938923e-05,0.0,-1.0
coureurs,3,0,3.614022406938923e-05,0.0,-1.0
crayon,3,0,3.614022406938923e-05,0.0,-1.0
crystal,3,0,3.614022406938923e-05,0.0,-1.0
decisionmaking,3,0,3.614022406938923e-05,0.0,-1.0
deliberation,3,0,3.614022406938923e-05,0.0,-1.0
demographics,3,0,3.614022406938923e-05,0.0,-1.0
developmentally,3,0,3.614022406938923e-05,0.0,-1.0
discerning,3,0,3.614022406938923e-05,0.0,-1.0
discrete,3,0,3.614022406938923e-05,0.0,-1.0
drugs,3,0,3.614022406938923e-05,0.0,-1.0
dye,3,0,3.614022406938923e-05,0.0,-1.0
electorate,3,0,3.614022406938923e-05,0.0,-1.0
enhancement,3,0,3.614022406938923e-05,0.0,-1.0
exaggeration,3,0,3.614022406938923e-05,0.0,-1.0
extrapolate,3,0,3.614022406938923e-05,0.0,-1.0
filmmakers,3,0,3.614022406938923e-05,0.0,-1.0
fna,3,0,3.614022406938923e-05,0.0,-1.0
focuses,3,0,3.614022406938923e-05,0.0,-1.0
footprints,3,0,3.614022406938923e-05,0.0,-1.0
foreshadowing,3,0,3.614022406938923e-05,0.0,-1.0
framing,3,0,3.614022406938923e-05,0.0,-1.0
glow,3,0,3.614022406938923e-05,0.0,-1.0
goal-setting,3,0,3.614022406938923e-05,0.0,-1.0
habitats,3,0,3.614022406938923e-05,0.0,-1.0
hemisphere,3,0,3.614022406938923e-05,0.0,-1.0
however,3,0,3.614022406938923e-05,0.0,-1.0
humankind,3,0,3.614022406938923e-05,0.0,-1.0
identifies,3,0,3.614022406938923e-05,0.0,-1.0
import,3,0,3.614022406938923e-05,0.0,-1.0
incomplete,3,0,3.614022406938923e-05,0.0,-1.0
indicators,3,0,3.614022406938923e-05,0.0,-1.0
infused,3,0,3.614022406938923e-05,0.0,-1.0
insulation,3,0,3.614022406938923e-05,0.0,-1.0
intercultural,3,0,3.614022406938923e-05,0.0,-1.0
interpolate,3,0,3.614022406938923e-05,0.0,-1.0
interrelationship,3,0,3.614022406938923e-05,0.0,-1.0
introduces,3,0,3.614022406938923e-05,0.0,-1.0
italicized,3,0,3.614022406938923e-05,0.0,-1.0
k1,3,0,3.614022406938923e-05,0.0,-1.0
k2,3,0,3.614022406938923e-05,0.0,-1.0
leisure,3,0,3.614022406938923e-05,0.0,-1.0
loudness,3,0,3.614022406938923e-05,0.0,-1.0
mappingwebbing,3,0,3.614022406938923e-05,0.0,-1.0
mathematically,3,0,3.614022406938923e-05,0.0,-1.0
mediation,3,0,3.614022406938923e-05,0.0,-1.0
middles,3,0,3.614022406938923e-05,0.0,-1.0
mineral,3,0,3.614022406938923e-05,0.0,-1.0
misspelled,3,0,3.614022406938923e-05,0.0,-1.0
mla,3,0,3.614022406938923e-05,0.0,-1.0
molds,3,0,3.614022406938923e-05,0.0,-1.0
mouse,3,0,3.614022406938923e-05,0.0,-1.0
novels,3,0,3.614022406938923e-05,0.0,-1.0
p234,3,0,3.614022406938923e-05,0.0,-1.0
packages,3,0,3.614022406938923e-05,0.0,-1.0
packaging,3,0,3.614022406938923e-05,0.0,-1.0
parties,3,0,3.614022406938923e-05,0.0,-1.0
perceptual,3,0,3.614022406938923e-05,0.0,-1.0
pertaining,3,0,3.614022406938923e-05,0.0,-1.0
pictionaries,3,0,3.614022406938923e-05,0.0,-1.0
portfolio,3,0,3.614022406938923e-05,0.0,-1.0
potentially,3,0,3.614022406938923e-05,0.0,-1.0
preceding,3,0,3.614022406938923e-05,0.0,-1.0
pressures,3,0,3.614022406938923e-05,0.0,-1.0
proceed,3,0,3.614022406938923e-05,0.0,-1.0
propulsion,3,0,3.614022406938923e-05,0.0,-1.0
puppets,3,0,3.614022406938923e-05,0.0,-1.0
reasoned,3,0,3.614022406938923e-05,0.0,-1.0
recently,3,0,3.614022406938923e-05,0.0,-1.0
researched,3,0,3.614022406938923e-05,0.0,-1.0
revisions,3,0,3.614022406938923e-05,0.0,-1.0
sand,3,0,3.614022406938923e-05,0.0,-1.0
shaft,3,0,3.614022406938923e-05,0.0,-1.0
simulate,3,0,3.614022406938923e-05,0.0,-1.0
somebody,3,0,3.614022406938923e-05,0.0,-1.0
somila,3,0,3.614022406938923e-05,0.0,-1.0
spiders,3,0,3.614022406938923e-05,0.0,-1.0
storytellers,3,0,3.614022406938923e-05,0.0,-1.0
strengthening,3,0,3.614022406938923e-05,0.0,-1.0
strive,3,0,3.614022406938923e-05,0.0,-1.0
subjectverb,3,0,3.614022406938923e-05,0.0,-1.0
subtractions,3,0,3.614022406938923e-05,0.0,-1.0
technographic,3,0,3.614022406938923e-05,0.0,-1.0
textbooks,3,0,3.614022406938923e-05,0.0,-1.0
threaten,3,0,3.614022406938923e-05,0.0,-1.0
titi,3,0,3.614022406938923e-05,0.0,-1.0
trips,3,0,3.614022406938923e-05,0.0,-1.0
ultimately,3,0,3.614022406938923e-05,0.0,-1.0
updown,3,0,3.614022406938923e-05,0.0,-1.0
versions,3,0,3.614022406938923e-05,0.0,-1.0
wax,3,0,3.614022406938923e-05,0.0,-1.0
wiring,3,0,3.614022406938923e-05,0.0,-1.0
worldviews,3,0,3.614022406938923e-05,0.0,-1.0
111,2,0,2.4093482712926154e-05,0.0,-1.0
1990,2,0,2.4093482712926154e-05,0.0,-1.0
2001,2,0,2.4093482712926154e-05,0.0,-1.0
25s,2,0,2.4093482712926154e-05,0.0,-1.0
311,2,0,2.4093482712926154e-05,0.0,-1.0
5-tone,2,0,2.4093482712926154e-05,0.0,-1.0
73,2,0,2.4093482712926154e-05,0.0,-1.0
74,2,0,2.4093482712926154e-05,0.0,-1.0
76,2,0,2.4093482712926154e-05,0.0,-1.0
77,2,0,2.4093482712926154e-05,0.0,-1.0
79,2,0,2.4093482712926154e-05,0.0,-1.0
80,2,0,2.4093482712926154e-05,0.0,-1.0
84,2,0,2.4093482712926154e-05,0.0,-1.0
85,2,0,2.4093482712926154e-05,0.0,-1.0
86,2,0,2.4093482712926154e-05,0.0,-1.0
87,2,0,2.4093482712926154e-05,0.0,-1.0
88,2,0,2.4093482712926154e-05,0.0,-1.0
89,2,0,2.4093482712926154e-05,0.0,-1.0
93,2,0,2.4093482712926154e-05,0.0,-1.0
aaasbenchmarks,2,0,2.4093482712926154e-05,0.0,-1.0
absorbent,2,0,2.4093482712926154e-05,0.0,-1.0
acceptable,2,0,2.4093482712926154e-05,0.0,-1.0
acetate,2,0,2.4093482712926154e-05,0.0,-1.0
addictions,2,0,2.4093482712926154e-05,0.0,-1.0
advertising,2,0,2.4093482712926154e-05,0.0,-1.0
affirm,2,0,2.4093482712926154e-05,0.0,-1.0
alarm,2,0,2.4093482712926154e-05,0.0,-1.0
alphabetically,2,0,2.4093482712926154e-05,0.0,-1.0
amphibians,2,0,2.4093482712926154e-05,0.0,-1.0
applies,2,0,2.4093482712926154e-05,0.0,-1.0
appliqu,2,0,2.4093482712926154e-05,0.0,-1.0
aptitudes,2,0,2.4093482712926154e-05,0.0,-1.0
archeology,2,0,2.4093482712926154e-05,0.0,-1.0
argument,2,0,2.4093482712926154e-05,0.0,-1.0
arguments,2,0,2.4093482712926154e-05,0.0,-1.0
assemblages,2,0,2.4093482712926154e-05,0.0,-1.0
assemble,2,0,2.4093482712926154e-05,0.0,-1.0
assertiveness,2,0,2.4093482712926154e-05,0.0,-1.0
assists,2,0,2.4093482712926154e-05,0.0,-1.0
attaching,2,0,2.4093482712926154e-05,0.0,-1.0
attending,2,0,2.4093482712926154e-05,0.0,-1.0
attentively,2,0,2.4093482712926154e-05,0.0,-1.0
autoharp,2,0,2.4093482712926154e-05,0.0,-1.0
b18,2,0,2.4093482712926154e-05,0.0,-1.0
b2,2,0,2.4093482712926154e-05,0.0,-1.0
ball,2,0,2.4093482712926154e-05,0.0,-1.0
bibliographies,2,0,2.4093482712926154e-05,0.0,-1.0
biodegradable,2,0,2.4093482712926154e-05,0.0,-1.0
biographical,2,0,2.4093482712926154e-05,0.0,-1.0
bisectors,2,0,2.4093482712926154e-05,0.0,-1.0
bisects,2,0,2.4093482712926154e-05,0.0,-1.0
boards,2,0,2.4093482712926154e-05,0.0,-1.0
bog,2,0,2.4093482712926154e-05,0.0,-1.0
braiding,2,0,2.4093482712926154e-05,0.0,-1.0
branching,2,0,2.4093482712926154e-05,0.0,-1.0
brayers,2,0,2.4093482712926154e-05,0.0,-1.0
broadens,2,0,2.4093482712926154e-05,0.0,-1.0
brochures,2,0,2.4093482712926154e-05,0.0,-1.0
burglar,2,0,2.4093482712926154e-05,0.0,-1.0
bylaws,2,0,2.4093482712926154e-05,0.0,-1.0
c12,2,0,2.4093482712926154e-05,0.0,-1.0
c13,2,0,2.4093482712926154e-05,0.0,-1.0
c135,2,0,2.4093482712926154e-05,0.0,-1.0
c422,2,0,2.4093482712926154e-05,0.0,-1.0
c431,2,0,2.4093482712926154e-05,0.0,-1.0
c621,2,0,2.4093482712926154e-05,0.0,-1.0
c623,2,0,2.4093482712926154e-05,0.0,-1.0
c625,2,0,2.4093482712926154e-05,0.0,-1.0
c627,2,0,2.4093482712926154e-05,0.0,-1.0
c632,2,0,2.4093482712926154e-05,0.0,-1.0
c634,2,0,2.4093482712926154e-05,0.0,-1.0
c714,2,0,2.4093482712926154e-05,0.0,-1.0
calculator,2,0,2.4093482712926154e-05,0.0,-1.0
canadienne-franaise,2,0,2.4093482712926154e-05,0.0,-1.0
carbonates,2,0,2.4093482712926154e-05,0.0,-1.0
cardboard,2,0,2.4093482712926154e-05,0.0,-1.0
cast,2,0,2.4093482712926154e-05,0.0,-1.0
charting,2,0,2.4093482712926154e-05,0.0,-1.0
circumferences,2,0,2.4093482712926154e-05,0.0,-1.0
cliatt,2,0,2.4093482712926154e-05,0.0,-1.0
coils,2,0,2.4093482712926154e-05,0.0,-1.0
colons,2,0,2.4093482712926154e-05,0.0,-1.0
commercials,2,0,2.4093482712926154e-05,0.0,-1.0
commit,2,0,2.4093482712926154e-05,0.0,-1.0
competently,2,0,2.4093482712926154e-05,0.0,-1.0
computations,2,0,2.4093482712926154e-05,0.0,-1.0
conception,2,0,2.4093482712926154e-05,0.0,-1.0
conductors,2,0,2.4093482712926154e-05,0.0,-1.0
confer,2,0,2.4093482712926154e-05,0.0,-1.0
coniferous,2,0,2.4093482712926154e-05,0.0,-1.0
conjectures,2,0,2.4093482712926154e-05,0.0,-1.0
connectors,2,0,2.4093482712926154e-05,0.0,-1.0
consensus-building,2,0,2.4093482712926154e-05,0.0,-1.0
constituents,2,0,2.4093482712926154e-05,0.0,-1.0
consultation,2,0,2.4093482712926154e-05,0.0,-1.0
contraceptives,2,0,2.4093482712926154e-05,0.0,-1.0
contrasts,2,0,2.4093482712926154e-05,0.0,-1.0
convince,2,0,2.4093482712926154e-05,0.0,-1.0
cope,2,0,2.4093482712926154e-05,0.0,-1.0
cornerstone,2,0,2.4093482712926154e-05,0.0,-1.0
councils,2,0,2.4093482712926154e-05,0.0,-1.0
craftsmanship,2,0,2.4093482712926154e-05,0.0,-1.0
criteriaquestions,2,0,2.4093482712926154e-05,0.0,-1.0
critique,2,0,2.4093482712926154e-05,0.0,-1.0
cross-stitch,2,0,2.4093482712926154e-05,0.0,-1.0
cueing,2,0,2.4093482712926154e-05,0.0,-1.0
culturally,2,0,2.4093482712926154e-05,0.0,-1.0
curious,2,0,2.4093482712926154e-05,0.0,-1.0
currents,2,0,2.4093482712926154e-05,0.0,-1.0
cx,2,0,2.4093482712926154e-05,0.0,-1.0
damaged,2,0,2.4093482712926154e-05,0.0,-1.0
dashes,2,0,2.4093482712926154e-05,0.0,-1.0
deciduous,2,0,2.4093482712926154e-05,0.0,-1.0
decorating,2,0,2.4093482712926154e-05,0.0,-1.0
definitions,2,0,2.4093482712926154e-05,0.0,-1.0
delight,2,0,2.4093482712926154e-05,0.0,-1.0
depicting,2,0,2.4093482712926154e-05,0.0,-1.0
diameters,2,0,2.4093482712926154e-05,0.0,-1.0
diaries,2,0,2.4093482712926154e-05,0.0,-1.0
dictionary,2,0,2.4093482712926154e-05,0.0,-1.0
differentiating,2,0,2.4093482712926154e-05,0.0,-1.0
differentiation,2,0,2.4093482712926154e-05,0.0,-1.0
disc,2,0,2.4093482712926154e-05,0.0,-1.0
dissolves,2,0,2.4093482712926154e-05,0.0,-1.0
distortion,2,0,2.4093482712926154e-05,0.0,-1.0
divisible,2,0,2.4093482712926154e-05,0.0,-1.0
do1,2,0,2.4093482712926154e-05,0.0,-1.0
drying,2,0,2.4093482712926154e-05,0.0,-1.0
eaters,2,0,2.4093482712926154e-05,0.0,-1.0
economically,2,0,2.4093482712926154e-05,0.0,-1.0
educations,2,0,2.4093482712926154e-05,0.0,-1.0
educator,2,0,2.4093482712926154e-05,0.0,-1.0
elder,2,0,2.4093482712926154e-05,0.0,-1.0
elective,2,0,2.4093482712926154e-05,0.0,-1.0
electoral,2,0,2.4093482712926154e-05,0.0,-1.0
eliminate,2,0,2.4093482712926154e-05,0.0,-1.0
else,2,0,2.4093482712926154e-05,0.0,-1.0
e-mail,2,0,2.4093482712926154e-05,0.0,-1.0
encyclopedias,2,0,2.4093482712926154e-05,0.0,-1.0
